concept;g;w;map
car;8;17;0.2120
person;8;17;0.4613
aeroplane;8;17;0.2360
dog;8;17;0.1544
bicycle;8;17;0.0808
train;8;17;0.1245
motorbike;8;17;0.1083
bottle;8;17;0.0758
sofa;8;17;0.0771
cat;8;17;0.1603
horse;8;17;0.0736
boat;8;17;0.1720
all;8;17;0.2360
bus;8;17;0.1824
bird;8;17;0.1252
tvmonitor;8;17;0.1139
pottedplant;8;17;0.1019
sheep;8;17;0.0834
chair;8;17;0.1556
cow;8;17;0.0724
diningtable;5;13;0.1292
car;5;13;0.2200
person;5;13;0.4562
aeroplane;5;13;0.2769
dog;5;13;0.1602
bicycle;5;13;0.0783
train;5;13;0.1213
motorbike;5;13;0.1086
bottle;5;13;0.0833
sofa;5;13;0.0873
cat;5;13;0.1732
horse;5;13;0.0791
boat;5;13;0.2201
all;5;13;0.2769
bus;5;13;0.1653
bird;5;13;0.1507
tvmonitor;5;13;0.1146
pottedplant;5;13;0.0943
sheep;5;13;0.1077
chair;5;13;0.1704
cow;5;13;0.0787
diningtable;0;14;0.1123
car;0;14;0.1505
person;0;14;0.3498
aeroplane;0;14;0.3088
dog;0;14;0.1750
bicycle;0;14;0.0636
train;0;14;0.0812
motorbike;0;14;0.0692
bottle;0;14;0.0863
sofa;0;14;0.0760
cat;0;14;0.1661
horse;0;14;0.0624
boat;0;14;0.1465
all;0;14;0.3088
bus;0;14;0.1026
bird;0;14;0.1714
tvmonitor;0;14;0.0763
pottedplant;0;14;0.0594
sheep;0;14;0.1359
chair;0;14;0.1444
cow;0;14;0.0659
diningtable;5;11;0.1339
car;5;11;0.2214
person;5;11;0.4576
aeroplane;5;11;0.2891
dog;5;11;0.1600
bicycle;5;11;0.0750
train;5;11;0.1238
motorbike;5;11;0.1031
bottle;5;11;0.0834
sofa;5;11;0.0877
cat;5;11;0.1773
horse;5;11;0.0778
boat;5;11;0.2315
all;5;11;0.2891
bus;5;11;0.1588
bird;5;11;0.1522
tvmonitor;5;11;0.1107
pottedplant;5;11;0.0887
sheep;5;11;0.1181
chair;5;11;0.1723
cow;5;11;0.0765
diningtable;1;8;0.1217
car;1;8;0.2106
person;1;8;0.4666
aeroplane;1;8;0.3356
dog;1;8;0.1726
bicycle;1;8;0.0687
train;1;8;0.1250
motorbike;1;8;0.0869
bottle;1;8;0.0901
sofa;1;8;0.0740
cat;1;8;0.1722
horse;1;8;0.0677
boat;1;8;0.2271
all;1;8;0.3356
bus;1;8;0.1511
bird;1;8;0.1853
tvmonitor;1;8;0.0967
pottedplant;1;8;0.0822
sheep;1;8;0.1325
chair;1;8;0.1768
cow;1;8;0.0645
diningtable;9;24;0.1039
car;9;24;0.1996
person;9;24;0.4626
aeroplane;9;24;0.2166
dog;9;24;0.1467
bicycle;9;24;0.0826
train;9;24;0.1227
motorbike;9;24;0.1044
bottle;9;24;0.0707
sofa;9;24;0.0712
cat;9;24;0.1553
horse;9;24;0.0641
boat;9;24;0.1414
all;9;24;0.2166
bus;9;24;0.1707
bird;9;24;0.1110
tvmonitor;9;24;0.1111
pottedplant;9;24;0.0960
sheep;9;24;0.0733
chair;9;24;0.1464
cow;9;24;0.0635
diningtable;6;22;0.1103
car;6;22;0.1994
person;6;22;0.4546
aeroplane;6;22;0.2363
dog;6;22;0.1500
bicycle;6;22;0.0806
train;6;22;0.1212
motorbike;6;22;0.1050
bottle;6;22;0.0738
sofa;6;22;0.0762
cat;6;22;0.1613
horse;6;22;0.0724
boat;6;22;0.1681
all;6;22;0.2363
bus;6;22;0.1715
bird;6;22;0.1178
tvmonitor;6;22;0.1111
pottedplant;6;22;0.1037
sheep;6;22;0.0857
chair;6;22;0.1538
cow;6;22;0.0750
diningtable;7;16;0.1139
car;7;16;0.2112
person;7;16;0.4595
aeroplane;7;16;0.2432
dog;7;16;0.1561
bicycle;7;16;0.0816
train;7;16;0.1241
motorbike;7;16;0.1102
bottle;7;16;0.0775
sofa;7;16;0.0797
cat;7;16;0.1624
horse;7;16;0.0760
boat;7;16;0.1842
all;7;16;0.2432
bus;7;16;0.1843
bird;7;16;0.1347
tvmonitor;7;16;0.1146
pottedplant;7;16;0.1023
sheep;7;16;0.0885
chair;7;16;0.1607
cow;7;16;0.0772
diningtable;3;18;0.1275
car;3;18;0.2062
person;3;18;0.4471
aeroplane;3;18;0.2772
dog;3;18;0.1536
bicycle;3;18;0.0801
train;3;18;0.1164
motorbike;3;18;0.1010
bottle;3;18;0.0819
sofa;3;18;0.0807
cat;3;18;0.1717
horse;3;18;0.0840
boat;3;18;0.2134
all;3;18;0.2772
bus;3;18;0.1778
bird;3;18;0.1465
tvmonitor;3;18;0.1086
pottedplant;3;18;0.0964
sheep;3;18;0.1255
chair;3;18;0.1715
cow;3;18;0.0882
diningtable;0;12;0.1132
car;0;12;0.1483
person;0;12;0.3515
aeroplane;0;12;0.3044
dog;0;12;0.1765
bicycle;0;12;0.0430
train;0;12;0.0832
motorbike;0;12;0.0679
bottle;0;12;0.0852
sofa;0;12;0.0749
cat;0;12;0.1677
horse;0;12;0.0628
boat;0;12;0.1397
all;0;12;0.3044
bus;0;12;0.1071
bird;0;12;0.1538
tvmonitor;0;12;0.0786
pottedplant;0;12;0.0586
sheep;0;12;0.1346
chair;0;12;0.1429
cow;0;12;0.0639
diningtable;8;1;0.0694
car;8;1;0.1408
person;8;1;0.5285
aeroplane;8;1;0.3032
dog;8;1;0.1384
bicycle;8;1;0.0643
train;8;1;0.0801
motorbike;8;1;0.0794
bottle;8;1;0.0704
sofa;8;1;0.0616
cat;8;1;0.1305
horse;8;1;0.0499
boat;8;1;0.1439
all;8;1;0.3032
bus;8;1;0.0881
bird;8;1;0.1296
tvmonitor;8;1;0.0691
pottedplant;8;1;0.0615
sheep;8;1;0.0898
chair;8;1;0.1261
cow;8;1;0.0447
diningtable;6;5;0.1112
car;6;5;0.2186
person;6;5;0.4846
aeroplane;6;5;0.3263
dog;6;5;0.1586
bicycle;6;5;0.0697
train;6;5;0.1241
motorbike;6;5;0.0910
bottle;6;5;0.0831
sofa;6;5;0.0763
cat;6;5;0.1571
horse;6;5;0.0666
boat;6;5;0.2286
all;6;5;0.3263
bus;6;5;0.1571
bird;6;5;0.1728
tvmonitor;6;5;0.0862
pottedplant;6;5;0.0771
sheep;6;5;0.1125
chair;6;5;0.1777
cow;6;5;0.0564
diningtable;7;15;0.1145
car;7;15;0.2140
person;7;15;0.4597
aeroplane;7;15;0.2460
dog;7;15;0.1575
bicycle;7;15;0.0820
train;7;15;0.1236
motorbike;7;15;0.1093
bottle;7;15;0.0790
sofa;7;15;0.0828
cat;7;15;0.1644
horse;7;15;0.0759
boat;7;15;0.1890
all;7;15;0.2460
bus;7;15;0.1868
bird;7;15;0.1406
tvmonitor;7;15;0.1163
pottedplant;7;15;0.1008
sheep;7;15;0.0896
chair;7;15;0.1621
cow;7;15;0.0782
diningtable;2;2;0.0661
car;2;2;0.1530
person;2;2;0.5035
aeroplane;2;2;0.3227
dog;2;2;0.1441
bicycle;2;2;0.0638
train;2;2;0.0972
motorbike;2;2;0.0836
bottle;2;2;0.0697
sofa;2;2;0.0699
cat;2;2;0.1376
horse;2;2;0.0504
boat;2;2;0.1835
all;2;2;0.3227
bus;2;2;0.1008
bird;2;2;0.1482
tvmonitor;2;2;0.0685
pottedplant;2;2;0.0653
sheep;2;2;0.1121
chair;2;2;0.1351
cow;2;2;0.0443
diningtable;1;13;0.1327
car;1;13;0.2108
person;1;13;0.4438
aeroplane;1;13;0.3360
dog;1;13;0.1641
bicycle;1;13;0.0674
train;1;13;0.1250
motorbike;1;13;0.0822
bottle;1;13;0.0871
sofa;1;13;0.0847
cat;1;13;0.1801
horse;1;13;0.0716
boat;1;13;0.2516
all;1;13;0.3360
bus;1;13;0.1698
bird;1;13;0.1825
tvmonitor;1;13;0.0943
pottedplant;1;13;0.0739
sheep;1;13;0.1281
chair;1;13;0.1704
cow;1;13;0.0696
diningtable;8;20;0.1082
car;8;20;0.2086
person;8;20;0.4611
aeroplane;8;20;0.2290
dog;8;20;0.1508
bicycle;8;20;0.0814
train;8;20;0.1229
motorbike;8;20;0.1045
bottle;8;20;0.0733
sofa;8;20;0.0748
cat;8;20;0.1585
horse;8;20;0.0707
boat;8;20;0.1624
all;8;20;0.2290
bus;8;20;0.1771
bird;8;20;0.1172
tvmonitor;8;20;0.1122
pottedplant;8;20;0.1005
sheep;8;20;0.0789
chair;8;20;0.1521
cow;8;20;0.0692
diningtable;9;2;0.0799
car;9;2;0.1596
person;9;2;0.5277
aeroplane;9;2;0.3254
dog;9;2;0.1429
bicycle;9;2;0.0658
train;9;2;0.0886
motorbike;9;2;0.0815
bottle;9;2;0.0742
sofa;9;2;0.0661
cat;9;2;0.1374
horse;9;2;0.0518
boat;9;2;0.1789
all;9;2;0.3254
bus;9;2;0.1055
bird;9;2;0.1427
tvmonitor;9;2;0.0719
pottedplant;9;2;0.0627
sheep;9;2;0.0964
chair;9;2;0.1438
cow;9;2;0.0474
diningtable;1;19;0.1404
car;1;19;0.2071
person;1;19;0.4254
aeroplane;1;19;0.3110
dog;1;19;0.1475
bicycle;1;19;0.0733
train;1;19;0.1194
motorbike;1;19;0.0888
bottle;1;19;0.0827
sofa;1;19;0.0798
cat;1;19;0.1659
horse;1;19;0.0782
boat;1;19;0.2510
all;1;19;0.3110
bus;1;19;0.1634
bird;1;19;0.1656
tvmonitor;1;19;0.0934
pottedplant;1;19;0.0825
sheep;1;19;0.1320
chair;1;19;0.1697
cow;1;19;0.0793
diningtable;1;11;0.1293
car;1;11;0.2085
person;1;11;0.4505
aeroplane;1;11;0.3411
dog;1;11;0.1731
bicycle;1;11;0.0674
train;1;11;0.1244
motorbike;1;11;0.0839
bottle;1;11;0.0891
sofa;1;11;0.0847
cat;1;11;0.1825
horse;1;11;0.0693
boat;1;11;0.2370
all;1;11;0.3411
bus;1;11;0.1687
bird;1;11;0.1901
tvmonitor;1;11;0.0935
pottedplant;1;11;0.0785
sheep;1;11;0.1326
chair;1;11;0.1722
cow;1;11;0.0683
diningtable;8;22;0.1053
car;8;22;0.2040
person;8;22;0.4612
aeroplane;8;22;0.2231
dog;8;22;0.1492
bicycle;8;22;0.0827
train;8;22;0.1224
motorbike;8;22;0.1040
bottle;8;22;0.0718
sofa;8;22;0.0744
cat;8;22;0.1577
horse;8;22;0.0686
boat;8;22;0.1535
all;8;22;0.2231
bus;8;22;0.1742
bird;8;22;0.1144
tvmonitor;8;22;0.1108
pottedplant;8;22;0.0984
sheep;8;22;0.0778
chair;8;22;0.1511
cow;8;22;0.0674
diningtable;4;21;0.1189
car;4;21;0.2023
person;4;21;0.4507
aeroplane;4;21;0.2516
dog;4;21;0.1497
bicycle;4;21;0.0799
train;4;21;0.1200
motorbike;4;21;0.1006
bottle;4;21;0.0780
sofa;4;21;0.0806
cat;4;21;0.1658
horse;4;21;0.0831
boat;4;21;0.1921
all;4;21;0.2516
bus;4;21;0.1768
bird;4;21;0.1301
tvmonitor;4;21;0.1122
pottedplant;4;21;0.1033
sheep;4;21;0.1005
chair;4;21;0.1619
cow;4;21;0.0845
diningtable;0;2;0.0586
car;0;2;0.0940
person;0;2;0.4419
aeroplane;0;2;0.2339
dog;0;2;0.1054
bicycle;0;2;0.0455
train;0;2;0.0503
motorbike;0;2;0.0458
bottle;0;2;0.0516
sofa;0;2;0.0527
cat;0;2;0.1145
horse;0;2;0.0376
boat;0;2;0.0764
all;0;2;0.2339
bus;0;2;0.0375
bird;0;2;0.1437
tvmonitor;0;2;0.0467
pottedplant;0;2;0.0459
sheep;0;2;0.0428
chair;0;2;0.0954
cow;0;2;0.0210
diningtable;4;22;0.1172
car;4;22;0.2006
person;4;22;0.4504
aeroplane;4;22;0.2503
dog;4;22;0.1489
bicycle;4;22;0.0806
train;4;22;0.1190
motorbike;4;22;0.1013
bottle;4;22;0.0776
sofa;4;22;0.0801
cat;4;22;0.1649
horse;4;22;0.0805
boat;4;22;0.1890
all;4;22;0.2503
bus;4;22;0.1765
bird;4;22;0.1268
tvmonitor;4;22;0.1122
pottedplant;4;22;0.1041
sheep;4;22;0.0985
chair;4;22;0.1623
cow;4;22;0.0839
diningtable;4;18;0.1236
car;4;18;0.2062
person;4;18;0.4516
aeroplane;4;18;0.2579
dog;4;18;0.1527
bicycle;4;18;0.0790
train;4;18;0.1175
motorbike;4;18;0.1051
bottle;4;18;0.0816
sofa;4;18;0.0820
cat;4;18;0.1671
horse;4;18;0.0827
boat;4;18;0.2058
all;4;18;0.2579
bus;4;18;0.1801
bird;4;18;0.1412
tvmonitor;4;18;0.1132
pottedplant;4;18;0.1006
sheep;4;18;0.1104
chair;4;18;0.1674
cow;4;18;0.0851
diningtable;8;21;0.1070
car;8;21;0.2065
person;8;21;0.4611
aeroplane;8;21;0.2263
dog;8;21;0.1499
bicycle;8;21;0.0821
train;8;21;0.1224
motorbike;8;21;0.1038
bottle;8;21;0.0723
sofa;8;21;0.0747
cat;8;21;0.1583
horse;8;21;0.0697
boat;8;21;0.1577
all;8;21;0.2263
bus;8;21;0.1753
bird;8;21;0.1156
tvmonitor;8;21;0.1111
pottedplant;8;21;0.0989
sheep;8;21;0.0784
chair;8;21;0.1516
cow;8;21;0.0680
diningtable;9;9;0.1249
car;9;9;0.2315
person;9;9;0.4655
aeroplane;9;9;0.2787
dog;9;9;0.1571
bicycle;9;9;0.0753
train;9;9;0.1262
motorbike;9;9;0.1026
bottle;9;9;0.0813
sofa;9;9;0.0844
cat;9;9;0.1669
horse;9;9;0.0707
boat;9;9;0.2137
all;9;9;0.2787
bus;9;9;0.1578
bird;9;9;0.1497
tvmonitor;9;9;0.1093
pottedplant;9;9;0.0879
sheep;9;9;0.0945
chair;9;9;0.1612
cow;9;9;0.0701
diningtable;6;14;0.1213
car;6;14;0.2167
person;6;14;0.4568
aeroplane;6;14;0.2578
dog;6;14;0.1593
bicycle;6;14;0.0820
train;6;14;0.1231
motorbike;6;14;0.1113
bottle;6;14;0.0823
sofa;6;14;0.0865
cat;6;14;0.1681
horse;6;14;0.0782
boat;6;14;0.2062
all;6;14;0.2578
bus;6;14;0.1775
bird;6;14;0.1493
tvmonitor;6;14;0.1156
pottedplant;6;14;0.0988
sheep;6;14;0.0959
chair;6;14;0.1652
cow;6;14;0.0799
diningtable;7;1;0.0692
car;7;1;0.1407
person;7;1;0.5272
aeroplane;7;1;0.3042
dog;7;1;0.1380
bicycle;7;1;0.0647
train;7;1;0.0801
motorbike;7;1;0.0804
bottle;7;1;0.0705
sofa;7;1;0.0616
cat;7;1;0.1322
horse;7;1;0.0499
boat;7;1;0.1407
all;7;1;0.3042
bus;7;1;0.0886
bird;7;1;0.1296
tvmonitor;7;1;0.0684
pottedplant;7;1;0.0617
sheep;7;1;0.0905
chair;7;1;0.1251
cow;7;1;0.0442
diningtable;4;8;0.1326
car;4;8;0.2213
person;4;8;0.4638
aeroplane;4;8;0.3177
dog;4;8;0.1635
bicycle;4;8;0.0703
train;4;8;0.1345
motorbike;4;8;0.0934
bottle;4;8;0.0872
sofa;4;8;0.0840
cat;4;8;0.1807
horse;4;8;0.0733
boat;4;8;0.2374
all;4;8;0.3177
bus;4;8;0.1742
bird;4;8;0.1678
tvmonitor;4;8;0.0972
pottedplant;4;8;0.0847
sheep;4;8;0.1254
chair;4;8;0.1769
cow;4;8;0.0679
diningtable;1;4;0.0900
car;1;4;0.1974
person;1;4;0.4816
aeroplane;1;4;0.3297
dog;1;4;0.1590
bicycle;1;4;0.0642
train;1;4;0.1180
motorbike;1;4;0.0855
bottle;1;4;0.0764
sofa;1;4;0.0701
cat;1;4;0.1554
horse;1;4;0.0553
boat;1;4;0.2007
all;1;4;0.3297
bus;1;4;0.1312
bird;1;4;0.1590
tvmonitor;1;4;0.0812
pottedplant;1;4;0.0715
sheep;1;4;0.1304
chair;1;4;0.1617
cow;1;4;0.0521
diningtable;9;16;0.1087
car;9;16;0.2148
person;9;16;0.4627
aeroplane;9;16;0.2374
dog;9;16;0.1549
bicycle;9;16;0.0809
train;9;16;0.1243
motorbike;9;16;0.1074
bottle;9;16;0.0757
sofa;9;16;0.0777
cat;9;16;0.1599
horse;9;16;0.0721
boat;9;16;0.1689
all;9;16;0.2374
bus;9;16;0.1834
bird;9;16;0.1264
tvmonitor;9;16;0.1147
pottedplant;9;16;0.1012
sheep;9;16;0.0818
chair;9;16;0.1544
cow;9;16;0.0712
diningtable;3;22;0.1209
car;3;22;0.1994
person;3;22;0.4464
aeroplane;3;22;0.2588
dog;3;22;0.1482
bicycle;3;22;0.0791
train;3;22;0.1185
motorbike;3;22;0.0977
bottle;3;22;0.0788
sofa;3;22;0.0814
cat;3;22;0.1635
horse;3;22;0.0864
boat;3;22;0.2016
all;3;22;0.2588
bus;3;22;0.1748
bird;3;22;0.1329
tvmonitor;3;22;0.1026
pottedplant;3;22;0.0992
sheep;3;22;0.1218
chair;3;22;0.1656
cow;3;22;0.0896
diningtable;8;12;0.1195
car;8;12;0.2243
person;8;12;0.4635
aeroplane;8;12;0.2651
dog;8;12;0.1585
bicycle;8;12;0.0797
train;8;12;0.1230
motorbike;8;12;0.1112
bottle;8;12;0.0792
sofa;8;12;0.0869
cat;8;12;0.1654
horse;8;12;0.0753
boat;8;12;0.1989
all;8;12;0.2651
bus;8;12;0.1677
bird;8;12;0.1509
tvmonitor;8;12;0.1133
pottedplant;8;12;0.0954
sheep;8;12;0.0890
chair;8;12;0.1619
cow;8;12;0.0763
diningtable;4;4;0.0994
car;4;4;0.2087
person;4;4;0.4894
aeroplane;4;4;0.3397
dog;4;4;0.1586
bicycle;4;4;0.0680
train;4;4;0.1117
motorbike;4;4;0.0886
bottle;4;4;0.0789
sofa;4;4;0.0719
cat;4;4;0.1529
horse;4;4;0.0608
boat;4;4;0.2263
all;4;4;0.3397
bus;4;4;0.1427
bird;4;4;0.1614
tvmonitor;4;4;0.0813
pottedplant;4;4;0.0724
sheep;4;4;0.1258
chair;4;4;0.1747
cow;4;4;0.0527
diningtable;4;23;0.1153
car;4;23;0.1984
person;4;23;0.4504
aeroplane;4;23;0.2483
dog;4;23;0.1482
bicycle;4;23;0.0810
train;4;23;0.1188
motorbike;4;23;0.1021
bottle;4;23;0.0763
sofa;4;23;0.0802
cat;4;23;0.1643
horse;4;23;0.0798
boat;4;23;0.1871
all;4;23;0.2483
bus;4;23;0.1759
bird;4;23;0.1232
tvmonitor;4;23;0.1090
pottedplant;4;23;0.1051
sheep;4;23;0.0969
chair;4;23;0.1621
cow;4;23;0.0840
diningtable;5;7;0.1296
car;5;7;0.2203
person;5;7;0.4692
aeroplane;5;7;0.3154
dog;5;7;0.1616
bicycle;5;7;0.0699
train;5;7;0.1348
motorbike;5;7;0.0931
bottle;5;7;0.0886
sofa;5;7;0.0812
cat;5;7;0.1698
horse;5;7;0.0720
boat;5;7;0.2359
all;5;7;0.3154
bus;5;7;0.1691
bird;5;7;0.1687
tvmonitor;5;7;0.0944
pottedplant;5;7;0.0826
sheep;5;7;0.1213
chair;5;7;0.1750
cow;5;7;0.0656
diningtable;8;14;0.1143
car;8;14;0.2185
person;8;14;0.4616
aeroplane;8;14;0.2469
dog;8;14;0.1574
bicycle;8;14;0.0808
train;8;14;0.1242
motorbike;8;14;0.1097
bottle;8;14;0.0791
sofa;8;14;0.0849
cat;8;14;0.1624
horse;8;14;0.0747
boat;8;14;0.1891
all;8;14;0.2469
bus;8;14;0.1812
bird;8;14;0.1433
tvmonitor;8;14;0.1158
pottedplant;8;14;0.0986
sheep;8;14;0.0866
chair;8;14;0.1606
cow;8;14;0.0764
diningtable;9;12;0.1170
car;9;12;0.2245
person;9;12;0.4639
aeroplane;9;12;0.2603
dog;9;12;0.1587
bicycle;9;12;0.0809
train;9;12;0.1229
motorbike;9;12;0.1100
bottle;9;12;0.0792
sofa;9;12;0.0858
cat;9;12;0.1640
horse;9;12;0.0737
boat;9;12;0.1922
all;9;12;0.2603
bus;9;12;0.1727
bird;9;12;0.1492
tvmonitor;9;12;0.1136
pottedplant;9;12;0.0954
sheep;9;12;0.0847
chair;9;12;0.1598
cow;9;12;0.0757
diningtable;0;24;0.0782
car;0;24;0.1682
person;0;24;0.3500
aeroplane;0;24;0.3064
dog;0;24;0.1345
bicycle;0;24;0.0641
train;0;24;0.0780
motorbike;0;24;0.0580
bottle;0;24;0.0808
sofa;0;24;0.0735
cat;0;24;0.1454
horse;0;24;0.0694
boat;0;24;0.1661
all;0;24;0.3064
bus;0;24;0.0654
bird;0;24;0.1472
tvmonitor;0;24;0.0714
pottedplant;0;24;0.0568
sheep;0;24;0.1296
chair;0;24;0.1440
cow;0;24;0.0649
diningtable;9;3;0.0925
car;9;3;0.1934
person;9;3;0.5015
aeroplane;9;3;0.3199
dog;9;3;0.1510
bicycle;9;3;0.0674
train;9;3;0.0977
motorbike;9;3;0.0830
bottle;9;3;0.0793
sofa;9;3;0.0695
cat;9;3;0.1439
horse;9;3;0.0564
boat;9;3;0.2072
all;9;3;0.3199
bus;9;3;0.1259
bird;9;3;0.1517
tvmonitor;9;3;0.0764
pottedplant;9;3;0.0659
sheep;9;3;0.1047
chair;9;3;0.1626
cow;9;3;0.0513
diningtable;9;11;0.1203
car;9;11;0.2279
person;9;11;0.4643
aeroplane;9;11;0.2669
dog;9;11;0.1589
bicycle;9;11;0.0785
train;9;11;0.1221
motorbike;9;11;0.1088
bottle;9;11;0.0794
sofa;9;11;0.0861
cat;9;11;0.1654
horse;9;11;0.0727
boat;9;11;0.1994
all;9;11;0.2669
bus;9;11;0.1660
bird;9;11;0.1514
tvmonitor;9;11;0.1137
pottedplant;9;11;0.0932
sheep;9;11;0.0873
chair;9;11;0.1603
cow;9;11;0.0704
diningtable;1;17;0.1347
car;1;17;0.2083
person;1;17;0.4337
aeroplane;1;17;0.3156
dog;1;17;0.1501
bicycle;1;17;0.0708
train;1;17;0.1191
motorbike;1;17;0.0876
bottle;1;17;0.0844
sofa;1;17;0.0807
cat;1;17;0.1709
horse;1;17;0.0769
boat;1;17;0.2497
all;1;17;0.3156
bus;1;17;0.1632
bird;1;17;0.1673
tvmonitor;1;17;0.0915
pottedplant;1;17;0.0738
sheep;1;17;0.1357
chair;1;17;0.1703
cow;1;17;0.0748
diningtable;2;8;0.1320
car;2;8;0.2126
person;2;8;0.4659
aeroplane;2;8;0.3362
dog;2;8;0.1697
bicycle;2;8;0.0688
train;2;8;0.1271
motorbike;2;8;0.0892
bottle;2;8;0.0888
sofa;2;8;0.0784
cat;2;8;0.1772
horse;2;8;0.0683
boat;2;8;0.2351
all;2;8;0.3362
bus;2;8;0.1649
bird;2;8;0.1779
tvmonitor;2;8;0.0957
pottedplant;2;8;0.0847
sheep;2;8;0.1297
chair;2;8;0.1766
cow;2;8;0.0649
diningtable;5;12;0.1325
car;5;12;0.2204
person;5;12;0.4576
aeroplane;5;12;0.2854
dog;5;12;0.1600
bicycle;5;12;0.0774
train;5;12;0.1204
motorbike;5;12;0.1071
bottle;5;12;0.0828
sofa;5;12;0.0880
cat;5;12;0.1746
horse;5;12;0.0796
boat;5;12;0.2258
all;5;12;0.2854
bus;5;12;0.1631
bird;5;12;0.1513
tvmonitor;5;12;0.1136
pottedplant;5;12;0.0913
sheep;5;12;0.1121
chair;5;12;0.1731
cow;5;12;0.0778
diningtable;6;11;0.1307
car;6;11;0.2218
person;6;11;0.4587
aeroplane;6;11;0.2803
dog;6;11;0.1593
bicycle;6;11;0.0769
train;6;11;0.1217
motorbike;6;11;0.1072
bottle;6;11;0.0818
sofa;6;11;0.0884
cat;6;11;0.1732
horse;6;11;0.0778
boat;6;11;0.2241
all;6;11;0.2803
bus;6;11;0.1597
bird;6;11;0.1509
tvmonitor;6;11;0.1125
pottedplant;6;11;0.0902
sheep;6;11;0.1087
chair;6;11;0.1702
cow;6;11;0.0750
diningtable;9;7;0.1296
car;9;7;0.2287
person;9;7;0.4702
aeroplane;9;7;0.2904
dog;9;7;0.1579
bicycle;9;7;0.0712
train;9;7;0.1333
motorbike;9;7;0.0960
bottle;9;7;0.0848
sofa;9;7;0.0815
cat;9;7;0.1655
horse;9;7;0.0690
boat;9;7;0.2197
all;9;7;0.2904
bus;9;7;0.1566
bird;9;7;0.1568
tvmonitor;9;7;0.0985
pottedplant;9;7;0.0824
sheep;9;7;0.1066
chair;9;7;0.1678
cow;9;7;0.0669
diningtable;0;16;0.1104
car;0;16;0.1618
person;0;16;0.3342
aeroplane;0;16;0.3080
dog;0;16;0.1580
bicycle;0;16;0.0672
train;0;16;0.0816
motorbike;0;16;0.0684
bottle;0;16;0.0874
sofa;0;16;0.0766
cat;0;16;0.1656
horse;0;16;0.0629
boat;0;16;0.1586
all;0;16;0.3080
bus;0;16;0.0812
bird;0;16;0.1722
tvmonitor;0;16;0.0736
pottedplant;0;16;0.0593
sheep;0;16;0.1337
chair;0;16;0.1493
cow;0;16;0.0671
diningtable;8;15;0.1108
car;8;15;0.2156
person;8;15;0.4614
aeroplane;8;15;0.2404
dog;8;15;0.1560
bicycle;8;15;0.0815
train;8;15;0.1241
motorbike;8;15;0.1097
bottle;8;15;0.0781
sofa;8;15;0.0818
cat;8;15;0.1623
horse;8;15;0.0742
boat;8;15;0.1800
all;8;15;0.2404
bus;8;15;0.1854
bird;8;15;0.1362
tvmonitor;8;15;0.1157
pottedplant;8;15;0.1011
sheep;8;15;0.0856
