concept;g;w;map
chair;8;15;0.1591
cow;8;15;0.0760
diningtable;0;20;0.0864
car;0;20;0.1688
person;0;20;0.3586
aeroplane;0;20;0.3055
dog;0;20;0.1498
bicycle;0;20;0.0658
train;0;20;0.0804
motorbike;0;20;0.0506
bottle;0;20;0.0828
sofa;0;20;0.0762
cat;0;20;0.1558
horse;0;20;0.0653
boat;0;20;0.1629
all;0;20;0.3055
bus;0;20;0.0671
bird;0;20;0.1586
tvmonitor;0;20;0.0745
pottedplant;0;20;0.0561
sheep;0;20;0.1308
chair;0;20;0.1471
cow;0;20;0.0664
diningtable;7;5;0.1115
car;7;5;0.2186
person;7;5;0.4847
aeroplane;7;5;0.3192
dog;7;5;0.1569
bicycle;7;5;0.0695
train;7;5;0.1231
motorbike;7;5;0.0907
bottle;7;5;0.0852
sofa;7;5;0.0766
cat;7;5;0.1571
horse;7;5;0.0655
boat;7;5;0.2249
all;7;5;0.3192
bus;7;5;0.1551
bird;7;5;0.1721
tvmonitor;7;5;0.0866
pottedplant;7;5;0.0766
sheep;7;5;0.1089
chair;7;5;0.1761
cow;7;5;0.0570
diningtable;4;24;0.1153
car;4;24;0.1965
person;4;24;0.4503
aeroplane;4;24;0.2447
dog;4;24;0.1474
bicycle;4;24;0.0809
train;4;24;0.1178
motorbike;4;24;0.1026
bottle;4;24;0.0753
sofa;4;24;0.0799
cat;4;24;0.1636
horse;4;24;0.0791
boat;4;24;0.1869
all;4;24;0.2447
bus;4;24;0.1746
bird;4;24;0.1201
tvmonitor;4;24;0.1068
pottedplant;4;24;0.1011
sheep;4;24;0.0940
chair;4;24;0.1620
cow;4;24;0.0836
diningtable;8;24;0.1053
car;8;24;0.1976
person;8;24;0.4612
aeroplane;8;24;0.2189
dog;8;24;0.1476
bicycle;8;24;0.0825
train;8;24;0.1213
motorbike;8;24;0.1036
bottle;8;24;0.0711
sofa;8;24;0.0721
cat;8;24;0.1560
horse;8;24;0.0655
boat;8;24;0.1476
all;8;24;0.2189
bus;8;24;0.1713
bird;8;24;0.1117
tvmonitor;8;24;0.1121
pottedplant;8;24;0.0955
sheep;8;24;0.0769
chair;8;24;0.1501
cow;8;24;0.0666
diningtable;7;6;0.1200
car;7;6;0.2247
person;7;6;0.4782
aeroplane;7;6;0.3106
dog;7;6;0.1580
bicycle;7;6;0.0693
train;7;6;0.1338
motorbike;7;6;0.0934
bottle;7;6;0.0840
sofa;7;6;0.0792
cat;7;6;0.1636
horse;7;6;0.0693
boat;7;6;0.2282
all;7;6;0.3106
bus;7;6;0.1659
bird;7;6;0.1701
tvmonitor;7;6;0.0915
pottedplant;7;6;0.0801
sheep;7;6;0.1122
chair;7;6;0.1730
cow;7;6;0.0609
diningtable;5;5;0.1116
car;5;5;0.2189
person;5;5;0.4841
aeroplane;5;5;0.3304
dog;5;5;0.1600
bicycle;5;5;0.0695
train;5;5;0.1257
motorbike;5;5;0.0902
bottle;5;5;0.0828
sofa;5;5;0.0757
cat;5;5;0.1576
horse;5;5;0.0669
boat;5;5;0.2330
all;5;5;0.3304
bus;5;5;0.1570
bird;5;5;0.1728
tvmonitor;5;5;0.0858
pottedplant;5;5;0.0775
sheep;5;5;0.1159
chair;5;5;0.1808
cow;5;5;0.0560
diningtable;5;20;0.1173
car;5;20;0.2030
person;5;20;0.4528
aeroplane;5;20;0.2451
dog;5;20;0.1506
bicycle;5;20;0.0801
train;5;20;0.1193
motorbike;5;20;0.1052
bottle;5;20;0.0776
sofa;5;20;0.0785
cat;5;20;0.1647
horse;5;20;0.0799
boat;5;20;0.1860
all;5;20;0.2451
bus;5;20;0.1768
bird;5;20;0.1273
tvmonitor;5;20;0.1133
pottedplant;5;20;0.1049
sheep;5;20;0.0949
chair;5;20;0.1601
cow;5;20;0.0850
diningtable;7;13;0.1198
car;7;13;0.2184
person;7;13;0.4618
aeroplane;7;13;0.2578
dog;7;13;0.1587
bicycle;7;13;0.0821
train;7;13;0.1224
motorbike;7;13;0.1119
bottle;7;13;0.0807
sofa;7;13;0.0877
cat;7;13;0.1658
horse;7;13;0.0767
boat;7;13;0.2032
all;7;13;0.2578
bus;7;13;0.1721
bird;7;13;0.1505
tvmonitor;7;13;0.1152
pottedplant;7;13;0.0970
sheep;7;13;0.0913
chair;7;13;0.1639
cow;7;13;0.0780
diningtable;4;16;0.1264
car;4;16;0.2086
person;4;16;0.4529
aeroplane;4;16;0.2710
dog;4;16;0.1567
bicycle;4;16;0.0820
train;4;16;0.1198
motorbike;4;16;0.1063
bottle;4;16;0.0830
sofa;4;16;0.0817
cat;4;16;0.1705
horse;4;16;0.0827
boat;4;16;0.2053
all;4;16;0.2710
bus;4;16;0.1765
bird;4;16;0.1474
tvmonitor;4;16;0.1125
pottedplant;4;16;0.0990
sheep;4;16;0.1202
chair;4;16;0.1720
cow;4;16;0.0822
diningtable;0;15;0.1116
car;0;15;0.1562
person;0;15;0.3471
aeroplane;0;15;0.3084
dog;0;15;0.1676
bicycle;0;15;0.0644
train;0;15;0.0810
motorbike;0;15;0.0686
bottle;0;15;0.0867
sofa;0;15;0.0765
cat;0;15;0.1638
horse;0;15;0.0624
boat;0;15;0.1535
all;0;15;0.3084
bus;0;15;0.0983
bird;0;15;0.1750
tvmonitor;0;15;0.0748
pottedplant;0;15;0.0593
sheep;0;15;0.1350
chair;0;15;0.1456
cow;0;15;0.0667
diningtable;1;22;0.1391
car;1;22;0.2056
person;1;22;0.4214
aeroplane;1;22;0.2878
dog;1;22;0.1461
bicycle;1;22;0.0733
train;1;22;0.1178
motorbike;1;22;0.0873
bottle;1;22;0.0812
sofa;1;22;0.0793
cat;1;22;0.1603
horse;1;22;0.0827
boat;1;22;0.2487
all;1;22;0.2878
bus;1;22;0.1694
bird;1;22;0.1459
tvmonitor;1;22;0.0959
pottedplant;1;22;0.0921
sheep;1;22;0.1443
chair;1;22;0.1680
cow;1;22;0.0811
diningtable;1;24;0.1399
car;1;24;0.2032
person;1;24;0.4200
aeroplane;1;24;0.2831
dog;1;24;0.1412
bicycle;1;24;0.0731
train;1;24;0.1122
motorbike;1;24;0.0896
bottle;1;24;0.0817
sofa;1;24;0.0790
cat;1;24;0.1566
horse;1;24;0.0811
boat;1;24;0.2480
all;1;24;0.2831
bus;1;24;0.1675
bird;1;24;0.1375
tvmonitor;1;24;0.0945
pottedplant;1;24;0.0921
sheep;1;24;0.1413
chair;1;24;0.1696
cow;1;24;0.0815
diningtable;2;1;0.0589
car;2;1;0.1212
person;2;1;0.5068
aeroplane;2;1;0.2994
dog;2;1;0.1365
bicycle;2;1;0.0640
train;2;1;0.0771
motorbike;2;1;0.0757
bottle;2;1;0.0690
sofa;2;1;0.0620
cat;2;1;0.1311
horse;2;1;0.0489
boat;2;1;0.1402
all;2;1;0.2994
bus;2;1;0.0827
bird;2;1;0.1308
tvmonitor;2;1;0.0636
pottedplant;2;1;0.0600
sheep;2;1;0.1002
chair;2;1;0.1175
cow;2;1;0.0434
diningtable;3;23;0.1196
car;3;23;0.1981
person;3;23;0.4460
aeroplane;3;23;0.2574
dog;3;23;0.1475
bicycle;3;23;0.0791
train;3;23;0.1176
motorbike;3;23;0.0976
bottle;3;23;0.0778
sofa;3;23;0.0811
cat;3;23;0.1621
horse;3;23;0.0846
boat;3;23;0.1994
all;3;23;0.2574
bus;3;23;0.1756
bird;3;23;0.1285
tvmonitor;3;23;0.1022
pottedplant;3;23;0.0983
sheep;3;23;0.1191
chair;3;23;0.1656
cow;3;23;0.0911
diningtable;0;18;0.1048
car;0;18;0.1661
person;0;18;0.3571
aeroplane;0;18;0.3098
dog;0;18;0.1487
bicycle;0;18;0.0673
train;0;18;0.0834
motorbike;0;18;0.0559
bottle;0;18;0.0866
sofa;0;18;0.0768
cat;0;18;0.1606
horse;0;18;0.0641
boat;0;18;0.1613
all;0;18;0.3098
bus;0;18;0.0700
bird;0;18;0.1673
tvmonitor;0;18;0.0738
pottedplant;0;18;0.0584
sheep;0;18;0.1324
chair;0;18;0.1479
cow;0;18;0.0667
diningtable;9;10;0.1229
car;9;10;0.2308
person;9;10;0.4647
aeroplane;9;10;0.2726
dog;9;10;0.1570
bicycle;9;10;0.0777
train;9;10;0.1224
motorbike;9;10;0.1069
bottle;9;10;0.0800
sofa;9;10;0.0864
cat;9;10;0.1670
horse;9;10;0.0723
boat;9;10;0.2083
all;9;10;0.2726
bus;9;10;0.1605
bird;9;10;0.1477
tvmonitor;9;10;0.1116
pottedplant;9;10;0.0918
sheep;9;10;0.0901
chair;9;10;0.1616
cow;9;10;0.0704
diningtable;4;9;0.1348
car;4;9;0.2205
person;4;9;0.4612
aeroplane;4;9;0.3100
dog;4;9;0.1602
bicycle;4;9;0.0718
train;4;9;0.1329
motorbike;4;9;0.0952
bottle;4;9;0.0856
sofa;4;9;0.0847
cat;4;9;0.1828
horse;4;9;0.0756
boat;4;9;0.2420
all;4;9;0.3100
bus;4;9;0.1674
bird;4;9;0.1627
tvmonitor;4;9;0.1011
pottedplant;4;9;0.0846
sheep;4;9;0.1270
chair;4;9;0.1752
cow;4;9;0.0705
diningtable;8;3;0.0914
car;8;3;0.1919
person;8;3;0.5007
aeroplane;8;3;0.3214
dog;8;3;0.1512
bicycle;8;3;0.0674
train;8;3;0.0988
motorbike;8;3;0.0834
bottle;8;3;0.0787
sofa;8;3;0.0702
cat;8;3;0.1447
horse;8;3;0.0562
boat;8;3;0.2084
all;8;3;0.3214
bus;8;3;0.1262
bird;8;3;0.1527
tvmonitor;8;3;0.0763
pottedplant;8;3;0.0663
sheep;8;3;0.1068
chair;8;3;0.1621
cow;8;3;0.0506
diningtable;5;16;0.1208
car;5;16;0.2100
person;5;16;0.4544
aeroplane;5;16;0.2592
dog;5;16;0.1569
bicycle;5;16;0.0819
train;5;16;0.1218
motorbike;5;16;0.1081
bottle;5;16;0.0819
sofa;5;16;0.0816
cat;5;16;0.1671
horse;5;16;0.0802
boat;5;16;0.2026
all;5;16;0.2592
bus;5;16;0.1811
bird;5;16;0.1423
tvmonitor;5;16;0.1125
pottedplant;5;16;0.1028
sheep;5;16;0.1001
chair;5;16;0.1668
cow;5;16;0.0830
diningtable;1;1;0.0490
car;1;1;0.1254
person;1;1;0.4986
aeroplane;1;1;0.2880
dog;1;1;0.1343
bicycle;1;1;0.0523
train;1;1;0.0728
motorbike;1;1;0.0706
bottle;1;1;0.0727
sofa;1;1;0.0639
cat;1;1;0.1274
horse;1;1;0.0466
boat;1;1;0.1365
all;1;1;0.2880
bus;1;1;0.0700
bird;1;1;0.1341
tvmonitor;1;1;0.0597
pottedplant;1;1;0.0536
sheep;1;1;0.0758
chair;1;1;0.1163
cow;1;1;0.0436
diningtable;6;7;0.1296
car;6;7;0.2231
person;6;7;0.4679
aeroplane;6;7;0.3106
dog;6;7;0.1604
bicycle;6;7;0.0697
train;6;7;0.1354
motorbike;6;7;0.0931
bottle;6;7;0.0876
sofa;6;7;0.0813
cat;6;7;0.1683
horse;6;7;0.0721
boat;6;7;0.2314
all;6;7;0.3106
bus;6;7;0.1654
bird;6;7;0.1663
tvmonitor;6;7;0.0949
pottedplant;6;7;0.0825
sheep;6;7;0.1210
chair;6;7;0.1745
cow;6;7;0.0663
diningtable;3;1;0.0627
car;3;1;0.1354
person;3;1;0.5149
aeroplane;3;1;0.2989
dog;3;1;0.1378
bicycle;3;1;0.0630
train;3;1;0.0838
motorbike;3;1;0.0804
bottle;3;1;0.0645
sofa;3;1;0.0639
cat;3;1;0.1316
horse;3;1;0.0493
boat;3;1;0.1388
all;3;1;0.2989
bus;3;1;0.0849
bird;3;1;0.1310
tvmonitor;3;1;0.0666
pottedplant;3;1;0.0646
sheep;3;1;0.0975
chair;3;1;0.1189
cow;3;1;0.0428
diningtable;5;18;0.1197
car;5;18;0.2053
person;5;18;0.4532
aeroplane;5;18;0.2493
dog;5;18;0.1532
bicycle;5;18;0.0792
train;5;18;0.1196
motorbike;5;18;0.1096
bottle;5;18;0.0795
sofa;5;18;0.0814
cat;5;18;0.1647
horse;5;18;0.0820
boat;5;18;0.1974
all;5;18;0.2493
bus;5;18;0.1798
bird;5;18;0.1352
tvmonitor;5;18;0.1119
pottedplant;5;18;0.1030
sheep;5;18;0.0972
chair;5;18;0.1645
cow;5;18;0.0848
diningtable;8;5;0.1115
car;8;5;0.2184
person;8;5;0.4842
aeroplane;8;5;0.3115
dog;8;5;0.1549
bicycle;8;5;0.0692
train;8;5;0.1224
motorbike;8;5;0.0907
bottle;8;5;0.0857
sofa;8;5;0.0759
cat;8;5;0.1572
horse;8;5;0.0661
boat;8;5;0.2203
all;8;5;0.3115
bus;8;5;0.1553
bird;8;5;0.1704
tvmonitor;8;5;0.0867
pottedplant;8;5;0.0760
sheep;8;5;0.1050
chair;8;5;0.1746
cow;8;5;0.0585
diningtable;7;9;0.1313
car;7;9;0.2293
person;7;9;0.4625
aeroplane;7;9;0.2871
dog;7;9;0.1586
bicycle;7;9;0.0740
train;7;9;0.1284
motorbike;7;9;0.0994
bottle;7;9;0.0819
sofa;7;9;0.0846
cat;7;9;0.1728
horse;7;9;0.0715
boat;7;9;0.2242
all;7;9;0.2871
bus;7;9;0.1579
bird;7;9;0.1526
tvmonitor;7;9;0.1057
pottedplant;7;9;0.0855
sheep;7;9;0.1102
chair;7;9;0.1695
cow;7;9;0.0710
diningtable;5;23;0.1138
car;5;23;0.1983
person;5;23;0.4527
aeroplane;5;23;0.2409
dog;5;23;0.1487
bicycle;5;23;0.0814
train;5;23;0.1196
motorbike;5;23;0.1054
bottle;5;23;0.0748
sofa;5;23;0.0770
cat;5;23;0.1637
horse;5;23;0.0752
boat;5;23;0.1753
all;5;23;0.2409
bus;5;23;0.1732
bird;5;23;0.1192
tvmonitor;5;23;0.1074
pottedplant;5;23;0.1050
sheep;5;23;0.0896
chair;5;23;0.1569
cow;5;23;0.0797
diningtable;9;5;0.1116
car;9;5;0.2207
person;9;5;0.4835
aeroplane;9;5;0.3065
dog;9;5;0.1533
bicycle;9;5;0.0692
train;9;5;0.1223
motorbike;9;5;0.0909
bottle;9;5;0.0853
sofa;9;5;0.0756
cat;9;5;0.1564
horse;9;5;0.0665
boat;9;5;0.2174
all;9;5;0.3065
bus;9;5;0.1562
bird;9;5;0.1675
tvmonitor;9;5;0.0869
pottedplant;9;5;0.0757
sheep;9;5;0.1009
chair;9;5;0.1746
cow;9;5;0.0596
diningtable;3;3;0.0856
car;3;3;0.1832
person;3;3;0.4948
aeroplane;3;3;0.3526
dog;3;3;0.1526
bicycle;3;3;0.0678
train;3;3;0.1082
motorbike;3;3;0.0852
bottle;3;3;0.0771
sofa;3;3;0.0717
cat;3;3;0.1487
horse;3;3;0.0547
boat;3;3;0.2057
all;3;3;0.3526
bus;3;3;0.1272
bird;3;3;0.1556
tvmonitor;3;3;0.0775
pottedplant;3;3;0.0706
sheep;3;3;0.1286
chair;3;3;0.1600
cow;3;3;0.0491
diningtable;7;2;0.0785
car;7;2;0.1588
person;7;2;0.5238
aeroplane;7;2;0.3282
dog;7;2;0.1438
bicycle;7;2;0.0661
train;7;2;0.0893
motorbike;7;2;0.0823
bottle;7;2;0.0743
sofa;7;2;0.0670
cat;7;2;0.1381
horse;7;2;0.0523
boat;7;2;0.1793
all;7;2;0.3282
bus;7;2;0.1079
bird;7;2;0.1454
tvmonitor;7;2;0.0712
pottedplant;7;2;0.0641
sheep;7;2;0.1021
chair;7;2;0.1415
cow;7;2;0.0463
diningtable;3;4;0.0970
car;3;4;0.2018
person;3;4;0.4871
aeroplane;3;4;0.3527
dog;3;4;0.1588
bicycle;3;4;0.0679
train;3;4;0.1129
motorbike;3;4;0.0884
bottle;3;4;0.0785
sofa;3;4;0.0718
cat;3;4;0.1537
horse;3;4;0.0588
boat;3;4;0.2247
all;3;4;0.3527
bus;3;4;0.1416
bird;3;4;0.1637
tvmonitor;3;4;0.0812
pottedplant;3;4;0.0734
sheep;3;4;0.1281
chair;3;4;0.1723
cow;3;4;0.0510
diningtable;1;16;0.1361
car;1;16;0.2100
person;1;16;0.4373
aeroplane;1;16;0.3309
dog;1;16;0.1524
bicycle;1;16;0.0689
train;1;16;0.1196
motorbike;1;16;0.0859
bottle;1;16;0.0855
sofa;1;16;0.0817
cat;1;16;0.1722
horse;1;16;0.0758
boat;1;16;0.2503
all;1;16;0.3309
bus;1;16;0.1623
bird;1;16;0.1688
tvmonitor;1;16;0.0929
pottedplant;1;16;0.0715
sheep;1;16;0.1308
chair;1;16;0.1732
cow;1;16;0.0727
diningtable;6;23;0.1103
car;6;23;0.1969
person;6;23;0.4546
aeroplane;6;23;0.2343
dog;6;23;0.1491
bicycle;6;23;0.0813
train;6;23;0.1197
motorbike;6;23;0.1059
bottle;6;23;0.0731
sofa;6;23;0.0754
cat;6;23;0.1605
horse;6;23;0.0713
boat;6;23;0.1651
all;6;23;0.2343
bus;6;23;0.1697
bird;6;23;0.1161
tvmonitor;6;23;0.1092
pottedplant;6;23;0.1020
sheep;6;23;0.0839
chair;6;23;0.1540
cow;6;23;0.0734
diningtable;8;6;0.1211
car;8;6;0.2273
person;8;6;0.4766
aeroplane;8;6;0.3039
dog;8;6;0.1570
bicycle;8;6;0.0696
train;8;6;0.1318
motorbike;8;6;0.0934
bottle;8;6;0.0850
sofa;8;6;0.0790
cat;8;6;0.1615
horse;8;6;0.0691
boat;8;6;0.2248
all;8;6;0.3039
bus;8;6;0.1648
bird;8;6;0.1680
tvmonitor;8;6;0.0920
pottedplant;8;6;0.0793
sheep;8;6;0.1063
chair;8;6;0.1719
cow;8;6;0.0621
diningtable;5;8;0.1330
car;5;8;0.2239
person;5;8;0.4635
aeroplane;5;8;0.3102
dog;5;8;0.1610
bicycle;5;8;0.0707
train;5;8;0.1352
motorbike;5;8;0.0948
bottle;5;8;0.0855
sofa;5;8;0.0839
cat;5;8;0.1785
horse;5;8;0.0721
boat;5;8;0.2339
all;5;8;0.3102
bus;5;8;0.1683
bird;5;8;0.1610
tvmonitor;5;8;0.0981
pottedplant;5;8;0.0842
sheep;5;8;0.1261
chair;5;8;0.1753
cow;5;8;0.0688
diningtable;5;22;0.1150
car;5;22;0.1998
person;5;22;0.4528
aeroplane;5;22;0.2432
dog;5;22;0.1495
bicycle;5;22;0.0808
train;5;22;0.1201
motorbike;5;22;0.1052
bottle;5;22;0.0757
sofa;5;22;0.0772
cat;5;22;0.1643
horse;5;22;0.0760
boat;5;22;0.1773
all;5;22;0.2432
bus;5;22;0.1750
bird;5;22;0.1208
tvmonitor;5;22;0.1108
pottedplant;5;22;0.1064
sheep;5;22;0.0909
chair;5;22;0.1575
cow;5;22;0.0799
diningtable;7;10;0.1283
car;7;10;0.2252
person;7;10;0.4622
aeroplane;7;10;0.2813
dog;7;10;0.1580
bicycle;7;10;0.0759
train;7;10;0.1250
motorbike;7;10;0.1030
bottle;7;10;0.0809
sofa;7;10;0.0863
cat;7;10;0.1732
horse;7;10;0.0730
boat;7;10;0.2191
all;7;10;0.2813
bus;7;10;0.1585
bird;7;10;0.1519
tvmonitor;7;10;0.1087
pottedplant;7;10;0.0893
sheep;7;10;0.1019
chair;7;10;0.1674
cow;7;10;0.0734
diningtable;0;21;0.0841
car;0;21;0.1692
person;0;21;0.3254
aeroplane;0;21;0.3092
dog;0;21;0.1411
bicycle;0;21;0.0644
train;0;21;0.0775
motorbike;0;21;0.0511
bottle;0;21;0.0813
sofa;0;21;0.0758
cat;0;21;0.1560
horse;0;21;0.0657
boat;0;21;0.1641
all;0;21;0.3092
bus;0;21;0.0663
bird;0;21;0.1530
tvmonitor;0;21;0.0739
pottedplant;0;21;0.0545
sheep;0;21;0.1317
chair;0;21;0.1472
cow;0;21;0.0659
diningtable;4;20;0.1208
car;4;20;0.2032
person;4;20;0.4509
aeroplane;4;20;0.2516
dog;4;20;0.1500
bicycle;4;20;0.0797
train;4;20;0.1186
motorbike;4;20;0.1045
bottle;4;20;0.0792
sofa;4;20;0.0808
cat;4;20;0.1657
horse;4;20;0.0846
boat;4;20;0.1981
all;4;20;0.2516
bus;4;20;0.1771
bird;4;20;0.1336
tvmonitor;4;20;0.1117
pottedplant;4;20;0.1022
sheep;4;20;0.1047
chair;4;20;0.1627
cow;4;20;0.0842
diningtable;2;21;0.1340
car;2;21;0.2016
person;2;21;0.4348
aeroplane;2;21;0.2696
dog;2;21;0.1500
bicycle;2;21;0.0772
train;2;21;0.1161
motorbike;2;21;0.0941
bottle;2;21;0.0821
sofa;2;21;0.0807
cat;2;21;0.1643
horse;2;21;0.0859
boat;2;21;0.2175
all;2;21;0.2696
bus;2;21;0.1772
bird;2;21;0.1355
tvmonitor;2;21;0.1040
pottedplant;2;21;0.0936
sheep;2;21;0.1318
chair;2;21;0.1690
cow;2;21;0.0920
diningtable;7;19;0.1119
car;7;19;0.2088
person;7;19;0.4594
aeroplane;7;19;0.2365
dog;7;19;0.1530
bicycle;7;19;0.0804
train;7;19;0.1227
motorbike;7;19;0.1077
bottle;7;19;0.0749
sofa;7;19;0.0762
cat;7;19;0.1601
horse;7;19;0.0751
boat;7;19;0.1715
all;7;19;0.2365
bus;7;19;0.1769
bird;7;19;0.1221
tvmonitor;7;19;0.1138
pottedplant;7;19;0.1027
sheep;7;19;0.0846
chair;7;19;0.1552
cow;7;19;0.0746
diningtable;3;16;0.1327
car;3;16;0.2123
person;3;16;0.4487
aeroplane;3;16;0.2818
dog;3;16;0.1555
bicycle;3;16;0.0799
train;3;16;0.1180
motorbike;3;16;0.1011
bottle;3;16;0.0836
sofa;3;16;0.0816
cat;3;16;0.1736
horse;3;16;0.0835
boat;3;16;0.2201
all;3;16;0.2818
bus;3;16;0.1744
bird;3;16;0.1507
tvmonitor;3;16;0.1098
pottedplant;3;16;0.0949
sheep;3;16;0.1310
chair;3;16;0.1741
cow;3;16;0.0858
diningtable;7;24;0.1063
car;7;24;0.1962
person;7;24;0.4593
aeroplane;7;24;0.2238
dog;7;24;0.1484
bicycle;7;24;0.0823
train;7;24;0.1195
motorbike;7;24;0.1046
bottle;7;24;0.0720
sofa;7;24;0.0739
cat;7;24;0.1563
horse;7;24;0.0676
boat;7;24;0.1535
all;7;24;0.2238
bus;7;24;0.1703
bird;7;24;0.1136
tvmonitor;7;24;0.1094
pottedplant;7;24;0.0984
sheep;7;24;0.0790
chair;7;24;0.1525
cow;7;24;0.0680
diningtable;2;10;0.1344
car;2;10;0.2111
person;2;10;0.4512
aeroplane;2;10;0.3176
dog;2;10;0.1684
bicycle;2;10;0.0698
train;2;10;0.1323
motorbike;2;10;0.0904
bottle;2;10;0.0874
sofa;2;10;0.0817
cat;2;10;0.1853
horse;2;10;0.0720
boat;2;10;0.2454
all;2;10;0.3176
bus;2;10;0.1758
bird;2;10;0.1780
tvmonitor;2;10;0.0973
pottedplant;2;10;0.0833
sheep;2;10;0.1284
chair;2;10;0.1737
cow;2;10;0.0681
diningtable;0;8;0.0804
car;0;8;0.1477
person;0;8;0.3488
aeroplane;0;8;0.2855
dog;0;8;0.1566
bicycle;0;8;0.0431
train;0;8;0.0854
motorbike;0;8;0.0580
bottle;0;8;0.0938
sofa;0;8;0.0632
cat;0;8;0.1508
horse;0;8;0.0498
boat;0;8;0.1409
all;0;8;0.2855
bus;0;8;0.0956
bird;0;8;0.1301
tvmonitor;0;8;0.0723
pottedplant;0;8;0.0439
sheep;0;8;0.1250
chair;0;8;0.1630
cow;0;8;0.0550
diningtable;0;9;0.1025
car;0;9;0.1444
person;0;9;0.3271
aeroplane;0;9;0.2950
dog;0;9;0.1717
bicycle;0;9;0.0489
train;0;9;0.1180
motorbike;0;9;0.0581
bottle;0;9;0.0932
sofa;0;9;0.0679
cat;0;9;0.1428
horse;0;9;0.0597
boat;0;9;0.1402
all;0;9;0.2950
bus;0;9;0.1016
bird;0;9;0.1353
tvmonitor;0;9;0.0730
pottedplant;0;9;0.0433
sheep;0;9;0.1353
chair;0;9;0.1484
cow;0;9;0.0569
diningtable;9;23;0.1041
car;9;23;0.2013
person;9;23;0.4626
aeroplane;9;23;0.2186
dog;9;23;0.1477
bicycle;9;23;0.0826
train;9;23;0.1226
motorbike;9;23;0.1044
bottle;9;23;0.0709
sofa;9;23;0.0720
cat;9;23;0.1557
horse;9;23;0.0650
boat;9;23;0.1435
all;9;23;0.2186
bus;9;23;0.1725
bird;9;23;0.1125
tvmonitor;9;23;0.1106
pottedplant;9;23;0.0961
sheep;9;23;0.0747
chair;9;23;0.1471
cow;9;23;0.0641
diningtable;0;1;0.0420
car;0;1;0.1197
person;0;1;0.4373
aeroplane;0;1;0.2786
dog;0;1;0.1016
bicycle;0;1;0.0521
train;0;1;0.0410
motorbike;0;1;0.0488
bottle;0;1;0.0737
sofa;0;1;0.0421
cat;0;1;0.1064
horse;0;1;0.0388
boat;0;1;0.0639
all;0;1;0.2786
bus;0;1;0.0392
bird;0;1;0.1331
tvmonitor;0;1;0.0547
pottedplant;0;1;0.0425
sheep;0;1;0.0676
chair;0;1;0.0881
cow;0;1;0.0294
diningtable;8;7;0.1295
car;8;7;0.2290
person;8;7;0.4708
aeroplane;8;7;0.2939
dog;8;7;0.1575
bicycle;8;7;0.0708
train;8;7;0.1336
motorbike;8;7;0.0955
bottle;8;7;0.0848
sofa;8;7;0.0816
cat;8;7;0.1679
horse;8;7;0.0689
boat;8;7;0.2262
all;8;7;0.2939
bus;8;7;0.1567
bird;8;7;0.1593
tvmonitor;8;7;0.0975
pottedplant;8;7;0.0818
sheep;8;7;0.1113
chair;8;7;0.1720
cow;8;7;0.0671
diningtable;4;15;0.1286
